question, answer1, answer2, answer3, answer4, correct answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,3
Which planet is known as the red planet?,Venus,Mars,Jupiter,Saturn,2
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Polar Bear,2
Who wrote the play Romeo and Juliet?,Charles Dickenes,William Shakespeare,Mark Twain,Leo Tolstoy,2
What is the chemical sympol for water?,H2O,CO2,Fe,H2,1
Which continent is the sahara Desert located on?,Asia,Africa,Australia,Europ,2
What is the smallest prime number?,0,1,2,3,3
Which protocol is used to send emails?,HTTP,FTP,SMTP,DNS,3
How many continents are on Earth?,1,6,7,8,3
Which gas do plants absorb during photos?,Oxygent,Caarbon Dioxide,Nitrogen,Hydrogen,2
